hindi,gsheet_goog_translate,append_prompt,gsheet_prompt_translate_with_prompt,eng_prompt_translate,chat_gpt_append,chat_gpt_pre,chat_gpt_translit_split_a,chat_gpt_translit_split_b,chat_gpt_translit_split_c,chat_gpt_fin
मस्का महुडी,Masca mahudi,rajasthan village name: मस्का महुडी,Rajasthan Village Name: Masca Mahudi,Masca Mahudi,मस्का महुडी - Maskā Mahuḍī,मस्का महुडी , Maskā Mahuḍī,,,Maskā Mahuḍī
महंगी,Expensive,rajasthan village name: महंगी,Rajasthan Village Name: Expensive,Expensive,महंगी - Mahangī,महंगी , Mahangī,,,Mahangī
महतावास,Mahtavas,rajasthan village name: महतावास,Rajasthan Village Name: Mahtavas,Mahtavas,महतावास - Mahatāvās,महतावास , Mahatāvās,,,Mahatāvās
महदपुरा,Mahdpura,rajasthan village name: महदपुरा,Rajasthan Village Name: Mahdpura,Mahdpura,महदपुरा - Mahadpurā,महदपुरा , Mahadpurā,,,Mahadpurā
महनपुर,Mahanpur,rajasthan village name: महनपुर,Rajasthan Village Name: Mahanpur,Mahanpur,महनपुर - Mahanpur,महनपुर , Mahanpur,,,Mahanpur
महनसर,Mahansar,rajasthan village name: महनसर,Rajasthan Village Name: Mahansar,Mahansar,महनसर - Mahansar,महनसर , Mahansar,,,Mahansar
महपालवास,Mahapalwas,rajasthan village name: महपालवास,Rajasthan Village Name: Mahpalwas,Mahpalwas,महपालवास - Mahapālvās,महपालवास , Mahapālvās,,,Mahapālvās
महमदपुर,Mahmadpur,rajasthan village name: महमदपुर,Rajasthan Village Name: Mahmadpur,Mahmadpur,महमदपुर - Mahmudpur,महमदपुर , Mahmudpur,,,Mahmudpur
महमदपुरा,Mahmadpura,rajasthan village name: महमदपुरा,Rajasthan Village Name: Mahmadpura,Mahmadpura,महमदपुरा - Mahmudpurā,महमदपुरा , Mahmudpurā,,,Mahmudpurā
महरामपुर,Maharampur,rajasthan village name: महरामपुर,Rajasthan Village Name: Maharampur,Maharampur,महरामपुर - Mahārāmpur,महरामपुर , Mahārāmpur,,,Mahārāmpur
महरावर,Merawar,rajasthan village name: महरावर,Rajasthan Village Name: Mehrawar,Mehrawar,महरावर - Mahārāvar,महरावर , Mahārāvar,,,Mahārāvar
महरोली,Maharoli,rajasthan village name: महरोली,Rajasthan Village Name: Maharoli,Maharoli,महरोली - Mahārolī,महरोली , Mahārolī,,,Mahārolī
महलपुर,Mahalpur,rajasthan village name: महलपुर,Rajasthan Village Name: Mahalpur,Mahalpur,महलपुर - Mahalpur,महलपुर , Mahalpur,,,Mahalpur
महलपुुर चूरा,Palace,rajasthan village name: महलपुुर चूरा,Rajasthan Village Name: Mahalpur sawdust,Mahalpur sawdust,महलपुुर चूरा - Mahalpur Chūrā,महलपुुर चूरा , Mahalpur Chūrā,,,Mahalpur Chūrā
महलां,Mahalaan,rajasthan village name: महलां,Rajasthan Village Name: Mahan,Mahan,महलां - Mahalān,महलां , Mahalān,,,Mahalān
महलाना उत0,Mahalana so,rajasthan village name: महलाना उत0,Rajasthan Village Name: Mahalana as 0,Mahalana as 0,महलाना उत0 - Mahalānā Ut0,महलाना उत0 , Mahalānā Ut0,,,Mahalānā Ut0
महलोनी,Palate,rajasthan village name: महलोनी,Rajasthan Village Name: Maheloni,Maheloni,महलोनी - Mahalōnī,महलोनी , Mahalōnī,,,Mahalōnī
महस्वा,Mahava,rajasthan village name: महस्वा,Rajasthan Village Name: Mahwa,Mahwa,महस्वा - Mahasvā,महस्वा , Mahasvā,,,Mahasvā
महाजन,great man,rajasthan village name: महाजन,Rajasthan Village Name: Mahajan,Mahajan,महाजन - Mahājan,महाजन , Mahājan,,,Mahājan
महाडी,Mahadi,rajasthan village name: महाडी,Rajasthan Village Name: Mahadi,Mahadi,महाडी - Mahāḍī,महाडी , Mahāḍī,,,Mahāḍī
महाद,Mahad,rajasthan village name: महाद,Rajasthan Village Name: Mahad,Mahad,महाद - Mahād,महाद , Mahād,,,Mahād
महादेव नगर,Mahadev Nagar,rajasthan village name: महादेव नगर,Rajasthan Village Name: Mahadev Nagar,Mahadev Nagar,महादेव नगर - Mahādēv Nagar,महादेव नगर , Mahādēv Nagar,,,Mahādēv Nagar
महादेव नगर उन्देडा,Mahadev Nagar Unda,rajasthan village name: महादेव नगर उन्देडा,Rajasthan Village Name: Mahadev Nagar Unda,Mahadev Nagar Unda,महादेव नगर उन्देडा - Mahādēv Nagar Undēḍā,महादेव नगर उन्देडा , Mahādēv Nagar Undēḍā,,,Mahādēv Nagar Undēḍā
महादेवपुरा,Mahadevpura,rajasthan village name: महादेवपुरा,Rajasthan Village Name: Mahadevpura,Mahadevpura,महादेवपुरा - Mahādēvpurā,महादेवपुरा , Mahādēvpurā,,,Mahādēvpurā
महादेववाली,Mahadevwali,rajasthan village name: महादेववाली,Rajasthan Village Name: Mahadevwali,Mahadevwali,महादेववाली - Mahādēvwālī,महादेववाली , Mahādēvwālī,,,Mahādēvwālī
महानन्दपुर ड्य‍ोडा,Mahanandpur Dyoda,rajasthan village name: महानन्दपुर ड्य‍ोडा,Rajasthan Village Name: Mahanandpur Daoda,Mahanandpur Daoda,महानन्दपुर ड्य‍ोडा - Mahānandpur Ḍyōḍā,महानन्दपुर ड्य‍ोडा , Mahānandpur Ḍyōḍā,,,Mahānandpur Ḍyōḍā
महापुरा,Mahapura,rajasthan village name: महापुरा,Rajasthan Village Name: Mahapura,Mahapura,महापुरा - Mahāpurā,महापुरा , Mahāpurā,,,Mahāpurā
महाबार,Mahabar,rajasthan village name: महाबार,Rajasthan Village Name: Mahabar,Mahabar,महाबार - Mahābār,महाबार , Mahābār,,,Mahābār
महारकलाॅं,Maharakalan,rajasthan village name: महारकलाॅं,Rajasthan Village Name: Maharkalan,Maharkalan,महारकलाॅं - Mahārakalān,महारकलाॅं , Mahārakalān,,,Mahārakalān
महाराज की खेडी,Maharaj ki khedi,rajasthan village name: महाराज की खेडी,Rajasthan Village Name: Maharaj's Khedi,Maharaj's Khedi,महाराज की खेडी - Mahārāj Kī Kheḍī,महाराज की खेडी , Mahārāj Kī Kheḍī,,,Mahārāj Kī Kheḍī
महाराजपुर,Maharajpur,rajasthan village name: महाराजपुर,Rajasthan Village Name: Maharajpur,Maharajpur,महाराजपुर - Mahārājpur,महाराजपुर , Mahārājpur,,,Mahārājpur
महाराजपुरा,Maharajpura,rajasthan village name: महाराजपुरा,Rajasthan Village Name: Maharajpura,Maharajpura,महाराजपुरा - Mahārājpurā,महाराजपुरा , Mahārājpurā,,,Mahārājpurā
महाराजाबास,Maharajabas,rajasthan village name: महाराजाबास,Rajasthan Village Name: Maharajabas,Maharajabas,महाराजाबास - Mahārājābās,महाराजाबास , Mahārājābās,,,Mahārājābās
महारिया,Maharia,rajasthan village name: महारिया,Rajasthan Village Name: Maharia,Maharia,महारिया - Mahāriyā,महारिया , Mahāriyā,,,Mahāriyā
महावा,Mahawa,rajasthan village name: महावा,Rajasthan Village Name: Mahawa,Mahawa,महावा - Mahāvā,महावा , Mahāvā,,,Mahāvā
महासतिय‍ों की मादड़ी,Pilgrimage,rajasthan village name: महासतिय‍ों की मादड़ी,Rajasthan Village Name: Maddi of Mahasatis,Maddi of Mahasatis,महासतिय‍ों की मादड़ी - Mahāsatyōṅ Kī Mādḍī,महासतिय‍ों की मादड़ी , Mahāsatyōṅ Kī Mādḍī,,,Mahāsatyōṅ Kī Mādḍī
महिपालपुरा,Mahipalpura,rajasthan village name: महिपालपुरा,Rajasthan Village Name: Mahipalpura,Mahipalpura,महिपालपुरा - Mahipālpurā,महिपालपुरा , Mahipālpurā,,,Mahipālpurā
महियांवाली,Mahianwali,rajasthan village name: महियांवाली,Rajasthan Village Name: Mahianwali,Mahianwali,महियांवाली - Mahiyānvālī,महियांवाली , Mahiyānvālī,,,Mahiyānvālī
महिलावास,Lady,rajasthan village name: महिलावास,Rajasthan Village Name: Women's resident,Women's resident,महिलावास - Mahilāvās,महिलावास , Mahilāvās,,,Mahilāvās
महुआ,Mahua,rajasthan village name: महुआ,Rajasthan Village Name: Mahua,Mahua,महुआ - Mahuā,महुआ , Mahuā,,,Mahuā
महुआ कला,Mahua art,rajasthan village name: महुआ कला,Rajasthan Village Name: Mahua Art,Mahua Art,महुआ कला - Mahuā Kalā,महुआ कला , Mahuā Kalā,,,Mahuā Kalā
महुआ खुर्द,Mahua khurd,rajasthan village name: महुआ खुर्द,Rajasthan Village Name: Mahua Khurd,Mahua Khurd,महुआ खुर्द - Mahuā Khurd,महुआ खुर्द , Mahuā Khurd,,,Mahuā Khurd
महुइब्राहिमपुर,Mahubrahimpur,rajasthan village name: महुइब्राहिमपुर,Rajasthan Village Name: Mahubrahimpur,Mahubrahimpur,महुइब्राहिमपुर - Mahuibrāhimapur,महुइब्राहिमपुर , Mahuibrāhimapur,,,Mahuibrāhimapur
महुखुर्द,Mahukhurd,rajasthan village name: महुखुर्द,Rajasthan Village Name: Mahukhurd,Mahukhurd,महुखुर्द - Mahukhurd,महुखुर्द , Mahukhurd,,,Mahukhurd
महुड़ा,Mahuda,rajasthan village name: महुड़ा,Rajasthan Village Name: Mahuda,Mahuda,महुड़ा - Mahuṛā,महुड़ा , Mahuṛā,,,Mahuṛā
महुड़ा,Mahuda,rajasthan village name: महुड़ा,Rajasthan Village Name: Mahuda,Mahuda,महुड़ा - Mahuṛā,महुड़ा , Mahuṛā,,,Mahuṛā
महुडी,Mahudi,rajasthan village name: महुडी,Rajasthan Village Name: Mahudi,Mahudi,महुडी - Mahuḍī,महुडी , Mahuḍī,,,Mahuḍī
महुड़ी,Mahudi,rajasthan village name: महुड़ी,Rajasthan Village Name: Mahudi,Mahudi,महुड़ी - Mahuḍī,महुड़ी , Mahuḍī,,,Mahuḍī
महुवा,Mahuva,rajasthan village name: महुवा,Rajasthan Village Name: Mahuva,Mahuva,महुवा - Mahuvā,महुवा , Mahuvā,,,Mahuvā
महुवा खुर्द,Mahuva khurd,rajasthan village name: महुवा खुर्द,Rajasthan Village Name: Mahuva Khurd,Mahuva Khurd,महुवा खुर्द - Mahuvā Khurd,महुवा खुर्द , Mahuvā Khurd,,,Mahuvā Khurd
महुवास,Mahuwas,rajasthan village name: महुवास,Rajasthan Village Name: Mahuwas,Mahuwas,महुवास - Mahuvās,महुवास , Mahuvās,,,Mahuvās
महू कलां,Mhow Kalan,rajasthan village name: महू कलां,Rajasthan Village Name: Mhow Kalan,Mhow Kalan,महू कलां - Mahū Kalān,महू कलां , Mahū Kalān,,,Mahū Kalān
महू खास,Mhow Khas,rajasthan village name: महू खास,Rajasthan Village Name: Mhow Khas,Mhow Khas,महू खास - Mahū Khās,महू खास , Mahū Khās,,,Mahū Khās
महूडा,Mahuda,rajasthan village name: महूडा,Rajasthan Village Name: Mahuda,Mahuda,महूडा - Mahūḍā,महूडा , Mahūḍā,,,Mahūḍā
महेन्द्रगढ,Mahendragarh,rajasthan village name: महेन्द्रगढ,Rajasthan Village Name: Mahendragarh,Mahendragarh,महेन्द्रगढ - Mahendragaḍh,महेन्द्रगढ , Mahendragaḍh,,,Mahendragaḍh
महेश वास कंला,Mahesh Vas Kanla,rajasthan village name: महेश वास कंला,Rajasthan Village Name: Mahesh Vas Kanla,Mahesh Vas Kanla,महेश वास कंला - Mahēś Vās Kamlā,महेश वास कंला , Mahēś Vās Kamlā,,,Mahēś Vās Kamlā
महेशपुरा,Maheshpura,rajasthan village name: महेशपुरा,Rajasthan Village Name: Maheshpura,Maheshpura,महेशपुरा - Mahēśpurā,महेशपुरा , Mahēśpurā,,,Mahēśpurā
महेश्रा,Maheshra,rajasthan village name: महेश्रा,Rajasthan Village Name: Maheshra,Maheshra,महेश्रा - Maheśhrā,महेश्रा , Maheśhrā,,,Maheśhrā
महेश्वरा कलाॅ,Maheshwara Kala,rajasthan village name: महेश्वरा कलाॅ,Rajasthan Village Name: Maheshwara Kala,Maheshwara Kala,महेश्वरा कलाॅ - Maheśvarā Kalā,महेश्वरा कलाॅ , Maheśvarā Kalā,,,Maheśvarā Kalā
महेश्वरा खुर्द,Maheshwara Khurd,rajasthan village name: महेश्वरा खुर्द,Rajasthan Village Name: Maheshwara Khurd,Maheshwara Khurd,महेश्वरा खुर्द - Maheśvarā Khurd,महेश्वरा खुर्द , Maheśvarā Khurd,,,Maheśvarā Khurd
महोदरा,Mahodara,rajasthan village name: महोदरा,Rajasthan Village Name: Mahodara,Mahodara,महोदरा - Mahōdarā,महोदरा , Mahōdarā,,,Mahōdarā
महोली,Maholi,rajasthan village name: महोली,Rajasthan Village Name: Maholi,Maholi,महोली - Maholī,महोली , Maholī,,,Maholī
मा- जंक्शन,Ma-junction,rajasthan village name: मा- जंक्शन,Rajasthan Village Name: Ma-Junction,Ma-Junction,मा- जंक्शन - Mā- Jaṅkshan,मा, जंक्शन , Mā, Jaṅkshan,जंक्शन - Mā- Jaṅkshan
माकडवाली,Makadwali,rajasthan village name: माकडवाली,Rajasthan Village Name: Makadwali,Makadwali,माकडवाली - Mākaḍavālī,माकडवाली , Mākaḍavālī,,,Mākaḍavālī
माकडसीमा,Makadseema,rajasthan village name: माकडसीमा,Rajasthan Village Name: Makadseema,Makadseema,माकडसीमा - Mākaḍasīmā,माकडसीमा , Mākaḍasīmā,,,Mākaḍasīmā
माकड़ा देव,Makra Dev,rajasthan village name: माकड़ा देव,Rajasthan Village Name: Makra Dev,Makra Dev,माकड़ा देव - Mākaṛā Deva,माकड़ा देव , Mākaṛā Deva,,,Mākaṛā Deva
माकडी,Makadi,rajasthan village name: माकडी,Rajasthan Village Name: Makadi,Makadi,माकडी - Mākaḍī,माकडी , Mākaḍī,,,Mākaḍī
मांकड‍ो,Mankado,rajasthan village name: मांकड‍ो,Rajasthan Village Name: Mankado,Mankado,मांकड‍ो - Mānkadō,मांकड‍ो , Mānkadō,,,Mānkadō
मांकरोडा,Mamkaroda,rajasthan village name: मांकरोडा,Rajasthan Village Name: Mankaroda,Mankaroda,मांकरोडा - Mānkarōḍā,मांकरोडा , Mānkarōḍā,,,Mānkarōḍā
माकोद,Makod,rajasthan village name: माकोद,Rajasthan Village Name: Makod,Makod,माकोद - Mākōd,माकोद , Mākōd,,,Mākōd
माखर,Makhar,rajasthan village name: माखर,Rajasthan Village Name: Makhar,Makhar,माखर - Mākhar,माखर , Mākhar,,,Mākhar
माखीदा,Makhida,rajasthan village name: माखीदा,Rajasthan Village Name: Makhida,Makhida,माखीदा - Mākhīdā,माखीदा , Mākhīdā,,,Mākhīdā
मांगटला,Mangatla,rajasthan village name: मांगटला,Rajasthan Village Name: Mangatla,Mangatla,मांगटला - Māṅgaṭlā,मांगटला , Māṅgaṭlā,,,Māṅgaṭlā
मांगता,Demanding,rajasthan village name: मांगता,Rajasthan Village Name: Demand,Demand,मांगता - Māṅgatā,मांगता , Māṅgatā,,,Māṅgatā
मांगथला,Mangathala,rajasthan village name: मांगथला,Rajasthan Village Name: Mangathala,Mangathala,मांगथला - Māṅgathlā,मांगथला , Māṅgathlā,,,Māṅgathlā
मांगरोल,Mangrol,rajasthan village name: मांगरोल,Rajasthan Village Name: Mangrol,Mangrol,मांगरोल - Māṅgarōl,मांगरोल , Māṅgarōl,,,Māṅgarōl
मांगलियावास,Mangaliawas,rajasthan village name: मांगलियावास,Rajasthan Village Name: Mangaliawas,Mangaliawas,मांगलियावास - Māṅgaliyāvās,मांगलियावास , Māṅgaliyāvās,,,Māṅgaliyāvās
मांगलीकलां,Mangalikalan,rajasthan village name: मांगलीकलां,Rajasthan Village Name: Mangalikalan,Mangalikalan,मांगलीकलां - Māṅgalīkalāṅ,मांगलीकलां , Māṅgalīkalāṅ,,,Māṅgalīkalāṅ
मांगलोद,Manglod,rajasthan village name: मांगलोद,Rajasthan Village Name: Manglod,Manglod,मांगलोद - Māṅgalōd,मांगलोद , Māṅgalōd,,,Māṅgalōd
माचड़ी,Mosaic,rajasthan village name: माचड़ी,Rajasthan Village Name: Machdi,Machdi,माचड़ी - Māchṛī,माचड़ी , Māchṛī,,,Māchṛī
माचवा,Machwa,rajasthan village name: माचवा,Rajasthan Village Name: Machwa,Machwa,माचवा - Māchvā,माचवा , Māchvā,,,Māchvā
मांचा,Mentor,rajasthan village name: मांचा,Rajasthan Village Name: Mancha,Mancha,मांचा - Mānchā,मांचा , Mānchā,,,Mānchā
माचाडी,Machadi,rajasthan village name: माचाडी,Rajasthan Village Name: Machadi,Machadi,माचाडी - Māchāḍī,माचाडी , Māchāḍī,,,Māchāḍī
माछरोली,Machhroli,rajasthan village name: माछरोली,Rajasthan Village Name: Machroli,Machroli,माछरोली - Māchharolī,माछरोली , Māchharolī,,,Māchharolī
माजरा,Mazra,rajasthan village name: माजरा,Rajasthan Village Name: Majra,Majra,माजरा - Mājarā,माजरा , Mājarā,,,Mājarā
माजरी अहीर,Majri Ahir,rajasthan village name: माजरी अहीर,Rajasthan Village Name: Majri Ahir,Majri Ahir,माजरी अहीर - Mājarī Ahīr,माजरी अहीर , Mājarī Ahīr,,,Mājarī Ahīr
माजरी कंला,Majri kanla,rajasthan village name: माजरी कंला,Rajasthan Village Name: Majri Kanla,Majri Kanla,माजरी कंला - Mājarī Kanlā,माजरी कंला , Mājarī Kanlā,,,Mājarī Kanlā
माजरी खाेला,Majri khala,rajasthan village name: माजरी खाेला,Rajasthan Village Name: Majri Khala,Majri Khala,माजरी खाेला - Mājarī Kholā,माजरी खाेला , Mājarī Kholā,,,Mājarī Kholā
माझावास,Mazhwas,rajasthan village name: माझावास,Rajasthan Village Name: Majhawas,Majhawas,माझावास - Mājhāvās,माझावास , Mājhāvās,,,Mājhāvās
मांझी,Manjhi,rajasthan village name: मांझी,Rajasthan Village Name: Manjhi,Manjhi,मांझी - Mānjhī,मांझी , Mānjhī,,,Mānjhī
माझीवाला (14 एस),Majhiwala (14S),rajasthan village name: माझीवाला (14 एस),Rajasthan Village Name: Majhiwala (14S),Majhiwala (14S),माझीवाला (14 एस) - Mājhīvālā (14 ES),माझीवाला (14 एस) , Mājhīvālā (14 ES),,,Mājhīvālā (14 ES)
माझीवाला (9 एफ ए),Majhiwala (9 FA),rajasthan village name: माझीवाला (9 एफ ए),Rajasthan Village Name: Majhiwala (9FA),Majhiwala (9FA),माझीवाला (9 एफ ए) - Mājhīvālā (9 F E),माझीवाला (9 एफ ए) , Mājhīvālā (9 F E),,,Mājhīvālā (9 F E)
मांझूवास,Manjhuwas,rajasthan village name: मांझूवास,Rajasthan Village Name: Manjhuwas,Manjhuwas,मांझूवास - Mānjhūvās,मांझूवास , Mānjhūvās,,,Mānjhūvās
माटूकी,Matuki,rajasthan village name: माटूकी,Rajasthan Village Name: Matuki,Matuki,माटूकी - Māṭūkī,माटूकी , Māṭūkī,,,Māṭūkī
माटून्दा,Matunda,rajasthan village name: माटून्दा,Rajasthan Village Name: Matunda,Matunda,माटून्दा - Māṭūndā,माटून्दा , Māṭūndā,,,Māṭūndā
माडपुरा,Madpura,rajasthan village name: माडपुरा,Rajasthan Village Name: Madpura,Madpura,माडपुरा - Māḍpurā,माडपुरा , Māḍpurā,,,Māḍpurā
माडपुरा बरवाला,Madpura Barwala,rajasthan village name: माडपुरा बरवाला,Rajasthan Village Name: Madpura Barwala,Madpura Barwala,माडपुरा बरवाला - Māḍpurā Barvālā,माडपुरा बरवाला , Māḍpurā Barvālā,,,Māḍpurā Barvālā
मांडवला,Mandavala,rajasthan village name: मांडवला,Rajasthan Village Name: Mandavala,Mandavala,मांडवला - Māṇḍavālā,मांडवला , Māṇḍavālā,,,Māṇḍavālā
माड़वा,Madwa,rajasthan village name: माड़वा,Rajasthan Village Name: Madwa,Madwa,माड़वा - Māṛvā,माड़वा , Māṛvā,,,Māṛvā
मांडवा,Mandwa,rajasthan village name: मांडवा,Rajasthan Village Name: Mandwa,Mandwa,मांडवा - Māṇḍavā,मांडवा , Māṇḍavā,,,Māṇḍavā
मांडवाडा खालसा,Mandwada Khalsa,rajasthan village name: मांडवाडा खालसा,Rajasthan Village Name: Mandwada Khalsa,Mandwada Khalsa,मांडवाडा खालसा - Māṇḍavāḍā Khālsā,मांडवाडा खालसा , Māṇḍavāḍā Khālsā,,,Māṇḍavāḍā Khālsā
मांडवाडा देवस्थान,Mandwada Devasthan,rajasthan village name: मांडवाडा देवस्थान,Rajasthan Village Name: Mandwada Devasthan,Mandwada Devasthan,मांडवाडा देवस्थान - Māṇḍavāḍā Devasthān,मांडवाडा देवस्थान , Māṇḍavāḍā Devasthān,,,Māṇḍavāḍā Devasthān
मांडवी,Mandavi,rajasthan village name: मांडवी,Rajasthan Village Name: Mandvi,Mandvi,मांडवी - Māṇḍavī,मांडवी , Māṇḍavī,,,Māṇḍavī
माडा,Muda,rajasthan village name: माडा,Rajasthan Village Name: Mada,Mada,माडा - Māḍā,माडा , Māḍā,,,Māḍā
माडापुरा,Madapura,rajasthan village name: माडापुरा,Rajasthan Village Name: Madapura,Madapura,माडापुरा - Māḍāpurā,माडापुरा , Māḍāpurā,,,Māḍāpurā
मांडासी,Mandasi,rajasthan village name: मांडासी,Rajasthan Village Name: Mandasi,Mandasi,मांडासी - Māṇḍāsī,मांडासी , Māṇḍāsī,,,Māṇḍāsī
मांडियाइखुर्द,Mandiakhurd,rajasthan village name: मांडियाइखुर्द,Rajasthan Village Name: Mandiakhurd,Mandiakhurd,मांडियाइखुर्द - Māṇḍiyāikhurd,मांडियाइखुर्द , Māṇḍiyāikhurd,,,Māṇḍiyāikhurd
मांडेला बडा,Mandela big,rajasthan village name: मांडेला बडा,Rajasthan Village Name: Mandela Bada,Mandela Bada,मांडेला बडा - Māṇḍēlā Badā,मांडेला बडा , Māṇḍēlā Badā,,,Māṇḍēlā Badā
माड‍ोनी,Madoni,rajasthan village name: माड‍ोनी,Rajasthan Village Name: Madoni,Madoni,माड‍ोनी - Māḍōnī,माड‍ोनी , Māḍōnī,,,Māḍōnī
मांड‍ोली,Mandioli,rajasthan village name: मांड‍ोली,Rajasthan Village Name: Mandioli,Mandioli,मांड‍ोली - Māṇḍōlī,मांड‍ोली , Māṇḍōlī,,,Māṇḍōlī
मांढण,Mandhana,rajasthan village name: मांढण,Rajasthan Village Name: Mardhana,Mardhana,मांढण - Māṇḍhaṇ,मांढण , Māṇḍhaṇ,,,Māṇḍhaṇ
माणकपुर,Manakpur,rajasthan village name: माणकपुर,Rajasthan Village Name: Manakpur,Manakpur,माणकपुर - Māṇakpur,माणकपुर , Māṇakpur,,,Māṇakpur
माणकलाव,Mankalav,rajasthan village name: माणकलाव,Rajasthan Village Name: Manakalav,Manakalav,माणकलाव - Māṇaklāv,माणकलाव , Māṇaklāv,,,Māṇaklāv
माणकासर,Mankasar,rajasthan village name: माणकासर,Rajasthan Village Name: Manakasar,Manakasar,माणकासर - Māṇakāsar,माणकासर , Māṇakāsar,,,Māṇakāsar
माणस,Manas,rajasthan village name: माणस,Rajasthan Village Name: Manas,Manas,माणस - Māṇas,माणस , Māṇas,,,Māṇas
माणी,Mani,rajasthan village name: माणी,Rajasthan Village Name: Mani,Mani,माणी - Māṇī,माणी , Māṇī,,,Māṇī
माण्डपुर,Mandpur,rajasthan village name: माण्डपुर,Rajasthan Village Name: Mandpur,Mandpur,माण्डपुर - Māṇḍapur,माण्डपुर , Māṇḍapur,,,Māṇḍapur
माण्डल,Mandal,rajasthan village name: माण्डल,Rajasthan Village Name: Mandal,Mandal,माण्डल - Māṇḍal,माण्डल , Māṇḍal,,,Māṇḍal
माण्डलजोधा,Mandaljodha,rajasthan village name: माण्डलजोधा,Rajasthan Village Name: Mandaljodha,Mandaljodha,माण्डलजोधा - Māṇḍaljōdhā,माण्डलजोधा , Māṇḍaljōdhā,,,Māṇḍaljōdhā
माण्‍डली,Mandali,rajasthan village name: माण्‍डली,Rajasthan Village Name: Mandali,Mandali,माण्‍डली - Māṇḍalī,माण्‍डली , Māṇḍalī,,,Māṇḍalī
माण्डली,Mandli,rajasthan village name: माण्डली,Rajasthan Village Name: Mandly,Mandly,माण्डली - Mandalī,माण्डली , Mandalī,,,Mandalī
माण्डव,Mandav,rajasthan village name: माण्डव,Rajasthan Village Name: Mandav,Mandav,माण्ड्व - Māṇḍv,माण्ड्व , Māṇḍv,,,Māṇḍv
माण्डवा,Mandwa,rajasthan village name: माण्डवा,Rajasthan Village Name: Mandwa,Mandwa,माण्डवा - Māṇḍvā,माण्डवा , Māṇḍvā,,,Māṇḍvā
माण्डवाफला,Mandwafla,rajasthan village name: माण्डवाफला,Rajasthan Village Name: Mandwafla,Mandwafla,माण्डवाफला - Māṇḍvāphalā,माण्डवाफला , Māṇḍvāphalā,,,Māṇḍvāphalā
माण्डा,Manda,rajasthan village name: माण्डा,Rajasthan Village Name: Manda,Manda,माण्डा - Māṇḍā,माण्डा , Māṇḍā,,,Māṇḍā
माण्डावास,Mandavas,rajasthan village name: माण्डावास,Rajasthan Village Name: Mandawas,Mandawas,माण्डावास - Māṇḍāvās,माण्डावास , Māṇḍāvās,,,Māṇḍāvās
माण्डीगढ,Mandigarh,rajasthan village name: माण्डीगढ,Rajasthan Village Name: Mandigarh,Mandigarh,माण्डीगढ - Māṇḍīgadh,माण्डीगढ , Māṇḍīgadh,,,Māṇḍīgadh
माण्ड‍ोता,Mandota,rajasthan village name: माण्ड‍ोता,Rajasthan Village Name: Mandota,Mandota,माण्ड‍ोता - Māṇḍōtā,माण्ड‍ोता , Māṇḍōtā,,,Māṇḍōtā
माताजी का खेडा,Mataji ka kheda,rajasthan village name: माताजी का खेडा,Rajasthan Village Name: Mataji Ka Kheda,Mataji Ka Kheda,माताजी का खेडा - Mātājī Kā Kheḍā,माताजी का खेडा , Mātājī Kā Kheḍā,,,Mātājī Kā Kheḍā
मातासुला,Matasula,rajasthan village name: मातासुला,Rajasthan Village Name: Matasula,Matasula,मातासुला - Mātāsulā,मातासुला , Mātāsulā,,,Mātāsulā
मातासूला,Matasula,rajasthan village name: मातासूला,Rajasthan Village Name: Matasula,Matasula,मातासूला - Mātāsūlā,मातासूला , Mātāsūlā,,,Mātāsūlā
मातोर,Matore,rajasthan village name: मातोर,Rajasthan Village Name: Mother,Mother,मातोर - Mātōr,मातोर , Mātōr,,,Mātōr
माथना,Beam,rajasthan village name: माथना,Rajasthan Village Name: Mathana,Mathana,माथना - Māthnā,माथना , Māthnā,,,Māthnā
माथनिया,Mathania,rajasthan village name: माथनिया,Rajasthan Village Name: Mathania,Mathania,माथनिया - Māthniyā,माथनिया , Māthniyā,,,Māthniyā
माथासूला,Mathasula,rajasthan village name: माथासूला,Rajasthan Village Name: Mathasula,Mathasula,माथासूला - Māthāsūlā,माथासूला , Māthāsūlā,,,Māthāsūlā
माथुगामडा,Mathugamada,rajasthan village name: माथुगामडा,Rajasthan Village Name: Mathugamada,Mathugamada,माथुगामडा - Māthugāmaḍā,माथुगामडा , Māthugāmaḍā,,,Māthugāmaḍā
माद,Male,rajasthan village name: माद,Rajasthan Village Name: Mad,Mad,माद - Mād,माद , Mād,,,Mād
मादडा,Madda,rajasthan village name: मादडा,Rajasthan Village Name: Madada,Madada,मादडा - Mādḍā,मादडा , Mādḍā,,,Mādḍā
मादडी,Maddi,rajasthan village name: मादडी,Rajasthan Village Name: Maddi,Maddi,मादडी - Mādḍī,मादडी , Mādḍī,,,Mādḍī
मांदरी,Mandari,rajasthan village name: मांदरी,Rajasthan Village Name: Mandari,Mandari,मांदरी - Māndarī,मांदरी , Māndarī,,,Māndarī
मादलदा,Madalada,rajasthan village name: मादलदा,Rajasthan Village Name: Madalada,Madalada,मादलदा - Mādaladā,मादलदा , Mādaladā,,,Mādaladā
मादला,Drunk,rajasthan village name: मादला,Rajasthan Village Name: Madla,Madla,मादला - Mādalā,मादला , Mādalā,,,Mādalā
